Date;Open;High;Low;Close;Volume;Adj_Close
04/01/2010;30.62;31.10;30.59;30.95;38409100;28.09
05/01/2010;30.85;31.10;30.64;30.96;49749600;28.10
06/01/2010;30.88;31.08;30.52;30.77;58182400;27.93
07/01/2010;30.63;30.70;30.19;30.45;50559700;27.64
08/01/2010;30.28;30.88;30.24;30.66;51197400;27.83
11/01/2010;30.71;30.76;30.12;30.27;68754700;27.47
12/01/2010;30.15;30.40;29.91;30.07;65912100;27.29
13/01/2010;30.26;30.52;30.01;30.35;51863500;27.54
14/01/2010;30.31;31.10;30.26;30.96;63228100;28.10
15/01/2010;31.08;31.24;30.71;30.86;79913200;28.01
19/01/2010;30.75;31.24;30.68;31.10;46575700;28.23
20/01/2010;30.81;30.94;30.31;30.59;54849500;27.76
21/01/2010;30.61;30.72;30.00;30.01;73086700;27.24
22/01/2010;30.00;30.20;28.84;28.96;102004600;26.28
25/01/2010;29.24;29.66;29.10;29.32;63373000;26.61
26/01/2010;29.20;29.85;29.09;29.50;66639900;26.77
27/01/2010;29.35;29.82;29.02;29.67;63949500;26.93
28/01/2010;29.84;29.87;28.89;29.16;117513700;26.46
29/01/2010;29.90;29.92;27.66;28.18;193888500;25.58
01/02/2010;28.39;28.48;27.92;28.41;85931100;25.78
02/02/2010;28.37;28.50;28.14;28.46;54413700;25.83
03/02/2010;28.26;28.79;28.12;28.63;61397900;25.98
04/02/2010;28.38;28.50;27.81;27.84;77850000;25.27
05/02/2010;28.00;28.28;27.57;28.02;80960100;25.43
08/02/2010;28.01;28.08;27.57;27.72;52820600;25.16
09/02/2010;27.97;28.34;27.75;28.01;59195800;25.42
10/02/2010;28.03;28.24;27.84;27.99;48591300;25.40
11/02/2010;27.93;28.40;27.70;28.12;65993700;25.52
12/02/2010;27.81;28.06;27.58;27.93;81117200;25.35
16/02/2010;28.13;28.37;28.02;28.35;51935600;25.85
17/02/2010;28.53;28.65;28.36;28.59;45882900;26.07
18/02/2010;28.59;29.03;28.51;28.97;42856500;26.42
19/02/2010;28.79;28.92;28.69;28.77;44451800;26.23
22/02/2010;28.84;28.94;28.65;28.73;36707100;26.20
23/02/2010;28.68;28.83;28.09;28.33;52266200;25.83
24/02/2010;28.52;28.79;28.38;28.63;43165900;26.11
25/02/2010;28.27;28.65;28.02;28.60;48735300;26.08
26/02/2010;28.65;28.85;28.51;28.67;40370600;26.14
01/03/2010;28.77;29.05;28.53;29.02;43805400;26.46
02/03/2010;29.08;29.30;28.24;28.46;93123900;25.95
03/03/2010;28.51;28.61;28.35;28.46;48442100;25.95
04/03/2010;28.46;28.65;28.27;28.63;42890600;26.11
05/03/2010;28.66;28.68;28.42;28.59;56001800;26.07
08/03/2010;28.52;28.93;28.50;28.63;39414500;26.11
09/03/2010;28.56;29.11;28.55;28.80;50271600;26.26
10/03/2010;28.86;29.11;28.80;28.97;44891400;26.42
11/03/2010;28.89;29.19;28.85;29.18;35349700;26.61
12/03/2010;29.32;29.38;29.04;29.27;31700200;26.69
15/03/2010;29.18;29.37;29.01;29.29;37512000;26.71
16/03/2010;29.42;29.49;29.20;29.37;36723500;26.78
17/03/2010;29.50;29.87;29.40;29.63;50385700;27.02
18/03/2010;29.63;29.72;29.50;29.61;43845200;27.00
19/03/2010;29.76;29.90;29.35;29.59;81332100;26.98
22/03/2010;29.50;29.70;29.39;29.60;37718200;26.99
23/03/2010;29.59;29.90;29.41;29.88;42026600;27.25
24/03/2010;29.72;29.85;29.60;29.65;33987700;27.04
25/03/2010;29.83;30.57;29.80;30.01;73168700;27.36
26/03/2010;30.09;30.20;29.59;29.66;55595500;27.04
29/03/2010;29.71;29.82;29.55;29.59;33336000;26.98
30/03/2010;29.63;29.86;29.50;29.77;34954800;27.14
31/03/2010;29.64;29.72;29.17;29.29;63760000;26.71
01/04/2010;29.35;29.54;28.62;29.16;74768100;26.59
05/04/2010;29.13;29.43;29.03;29.27;34331200;26.69
06/04/2010;29.15;29.58;28.98;29.32;47366800;26.73
07/04/2010;29.16;29.56;29.14;29.35;58318800;26.76
08/04/2010;29.32;29.98;29.30;29.92;63713800;27.28
09/04/2010;29.95;30.41;29.90;30.34;54752500;27.66
12/04/2010;30.25;30.49;30.21;30.32;37068800;27.65
13/04/2010;30.15;30.50;30.13;30.45;41374600;27.76
14/04/2010;30.79;31.00;30.66;30.82;68941200;28.10
15/04/2010;30.82;30.95;30.71;30.87;52745400;28.15
16/04/2010;30.79;30.98;30.60;30.67;88703100;27.97
19/04/2010;30.77;31.25;30.76;31.04;64970300;28.30
20/04/2010;31.22;31.44;31.13;31.36;52199500;28.59
21/04/2010;31.33;31.50;31.23;31.33;55343100;28.57
22/04/2010;31.04;31.53;30.90;31.39;84847600;28.62
23/04/2010;31.12;31.58;30.65;30.96;126766600;28.23
26/04/2010;31.00;31.28;30.86;31.11;63649300;28.37
27/04/2010;30.95;31.25;30.75;30.85;68730900;28.13
28/04/2010;30.92;31.00;30.62;30.91;64557900;28.18
29/04/2010;30.93;31.43;30.67;31.00;52665200;28.27
30/04/2010;31.07;31.08;30.52;30.54;63214800;27.85
03/05/2010;30.67;31.06;30.58;30.86;43989500;28.14
04/05/2010;30.52;30.55;29.75;30.13;82085600;27.47
05/05/2010;29.77;30.09;29.69;29.85;66833800;27.22
06/05/2010;29.59;29.88;27.91;28.98;128613000;26.42
07/05/2010;28.93;28.95;27.32;28.21;173718100;25.72
10/05/2010;29.01;29.48;28.71;28.94;86653300;26.39
11/05/2010;28.68;29.65;28.57;28.88;63789400;26.33
12/05/2010;28.98;29.58;28.92;29.44;47146800;26.84
13/05/2010;29.26;29.73;29.18;29.24;45188800;26.66
14/05/2010;29.20;29.21;28.64;28.93;63334000;26.38
17/05/2010;29.12;29.23;28.45;28.94;46053300;26.39
18/05/2010;28.87;29.00;28.40;28.60;52690600;26.20
19/05/2010;28.52;28.69;27.79;28.24;61746700;25.87
20/05/2010;27.65;27.84;27.04;27.11;87991100;24.83
21/05/2010;26.63;27.11;26.44;26.84;117596300;24.58
24/05/2010;26.85;26.86;26.26;26.27;73711700;24.06
25/05/2010;25.65;26.33;25.38;26.07;98373600;23.88
26/05/2010;26.23;26.61;24.56;25.01;176684100;22.91
27/05/2010;25.73;26.36;25.73;26.00;136433600;23.81
28/05/2010;25.84;26.12;25.66;25.80;67496900;23.63
01/06/2010;25.53;26.31;25.52;25.89;76152400;23.71
02/06/2010;26.06;26.48;25.73;26.46;65718800;24.24
03/06/2010;26.55;26.93;26.41;26.86;67837000;24.60
04/06/2010;26.10;26.57;25.62;25.79;89832200;23.62
07/06/2010;25.82;25.83;25.24;25.29;80456200;23.16
08/06/2010;25.25;25.26;24.65;25.11;87355000;23.00
09/06/2010;25.22;25.52;24.75;24.79;87794000;22.71
10/06/2010;25.13;25.15;24.78;25.00;78930900;22.90
11/06/2010;25.04;25.72;24.77;25.66;68057700;23.50
14/06/2010;25.86;25.96;25.47;25.50;50972400;23.36
15/06/2010;25.75;26.65;25.74;26.58;81641500;24.35
16/06/2010;26.47;26.58;26.23;26.32;48698000;24.11
17/06/2010;26.56;26.67;26.04;26.37;47995500;24.15
18/06/2010;26.37;26.53;26.17;26.44;52075600;24.22
21/06/2010;26.78;26.89;25.89;25.95;54625300;23.77
22/06/2010;26.16;26.45;25.76;25.77;55985400;23.60
23/06/2010;25.78;25.78;25.22;25.31;61466200;23.18
24/06/2010;25.46;25.72;24.93;25.00;85243400;22.90
25/06/2010;25.05;25.11;24.31;24.53;156256700;22.47
28/06/2010;24.51;24.61;24.12;24.31;73784800;22.27
29/06/2010;24.13;24.20;23.11;23.31;119882100;21.35
30/06/2010;23.30;23.68;22.95;23.01;81050500;21.08
01/07/2010;23.09;23.32;22.73;23.16;92239400;21.21
02/07/2010;23.36;23.48;23.05;23.27;62485100;21.31
06/07/2010;23.70;24.09;23.58;23.82;73592000;21.82
07/07/2010;23.82;24.32;23.61;24.30;79965300;22.26
08/07/2010;24.60;24.62;23.97;24.41;50758100;22.36
09/07/2010;24.33;24.41;24.15;24.27;53806100;22.23
12/07/2010;24.43;24.89;24.42;24.83;49854200;22.74
13/07/2010;25.14;25.30;24.90;25.13;61928700;23.02
14/07/2010;25.50;25.61;25.12;25.44;72808100;23.30
15/07/2010;25.50;25.59;24.98;25.51;56934700;23.37
16/07/2010;25.51;25.64;24.88;24.89;65064800;22.80
19/07/2010;24.96;25.30;24.91;25.23;38181800;23.11
20/07/2010;24.86;25.48;24.70;25.48;45530700;23.34
21/07/2010;25.60;25.65;24.98;25.12;73297300;23.01
22/07/2010;25.51;25.99;25.47;25.84;73016400;23.67
23/07/2010;25.84;26.02;25.25;25.81;108520100;23.64
26/07/2010;25.86;26.20;25.80;26.10;67249900;23.91
27/07/2010;26.14;26.24;25.96;26.16;60672100;23.96
28/07/2010;26.07;26.19;25.83;25.95;69704800;23.77
29/07/2010;26.13;26.41;25.60;26.03;69446200;23.84
30/07/2010;25.75;25.84;25.35;25.81;83534800;23.64
02/08/2010;25.99;26.38;25.75;26.33;55044600;24.12
03/08/2010;26.20;26.35;25.97;26.16;56877700;23.96
04/08/2010;26.15;26.24;25.44;25.73;78531900;23.57
05/08/2010;25.49;25.58;25.21;25.37;64922100;23.24
06/08/2010;25.18;25.56;25.02;25.55;55982100;23.40
09/08/2010;25.55;25.73;25.37;25.61;57096500;23.46
10/08/2010;25.33;25.34;24.88;25.07;87257700;22.96
11/08/2010;24.68;24.90;24.56;24.86;76746900;22.77
12/08/2010;24.42;24.68;24.36;24.49;70240500;22.43
13/08/2010;24.35;24.67;24.24;24.40;45263500;22.35
16/08/2010;24.36;24.61;24.30;24.50;40909700;22.44
17/08/2010;24.71;24.96;24.60;24.71;52912600;22.75
18/08/2010;24.68;24.95;24.41;24.82;46818900;22.85
19/08/2010;24.62;24.74;24.21;24.44;54064600;22.50
